node,pos_x,pos_y,path_order,connection,connection_type,track_info,node_type,cluster
CHUCHU,0.416685,0.425614,2,Boaz Van De Beatz - CHUCHU,created,Valentino Khan: Boaz Van De Beatz & G-Buck feat. Mr. Polska - CHUCHU,track_basic,-1
Boaz Van De Beatz,0.460579,0.390456,1,Boaz Van De Beatz - Oh My,created,Yellow Claw: The Partysquad & Boaz Van De Beatz - Oh My,artist,-1
Oh My,0.509693,0.38438,2,Boaz Van De Beatz - Oh My,created,Yellow Claw: The Partysquad & Boaz Van De Beatz - Oh My,track_basic,-1
Boaz Van De Beatz,0.460579,0.390456,1,Boaz Van De Beatz - ID,created,Valentino Khan: Boaz Van De Beatz - ID,artist,-1
ID,0.509231,0.357649,2,Boaz Van De Beatz - ID,created,Valentino Khan: Boaz Van De Beatz - ID,track_basic,-1
Hello ,0.464048,0.219484,1,Hello  - Marshmello,played,Marshmello: Adele - Hello (Marshmello Remix),track_basic,-1
Marshmello,0.502467,0.293848,2,Hello  - Marshmello,played,Marshmello: Adele - Hello (Marshmello Remix),set_artist,6
Hello ,0.464048,0.219484,1,Hello  - Adele,created,Marshmello: Adele - Hello (Marshmello Remix),track_basic,-1
Adele,0.435972,0.165957,2,Hello  - Adele,created,Marshmello: Adele - Hello (Marshmello Remix),artist,-1
Badam,0.580002,0.488248,1,Badam - Henry Fong,created,Hardwell: Hardwell & Henry Fong feat. Mr. Vegas - Badam,track_basic,-1
Henry Fong,0.543431,0.434448,2,Badam - Henry Fong,created,Hardwell: Hardwell & Henry Fong feat. Mr. Vegas - Badam,artist,-1
Badam,0.580002,0.488248,1,Badam - Hardwell,created & played,Hardwell: Hardwell & Henry Fong feat. Mr. Vegas - Badam,track_basic,-1
Hardwell,0.599745,0.43278,2,Badam - Hardwell,created & played,Hardwell: Hardwell & Henry Fong feat. Mr. Vegas - Badam,set_artist,1
Badam,0.580002,0.488248,1,Badam - Mr. Vegas,created,Hardwell: Hardwell & Henry Fong feat. Mr. Vegas - Badam,track_basic,-1
Mr. Vegas,0.588801,0.548591,2,Badam - Mr. Vegas,created,Hardwell: Hardwell & Henry Fong feat. Mr. Vegas - Badam,artist,-1
Chambray,0.150218,0.236725,1,Chambray - Makin' Me,created,Duke Dumont: Chambray - Makin' Me,artist,-1
Makin' Me,0.185167,0.250089,2,Chambray - Makin' Me,created,Duke Dumont: Chambray - Makin' Me,track_basic,-1
Chambray,0.150218,0.236725,1,Chambray - Yuu,created,Duke Dumont: Chambray - Yuu,artist,-1
Yuu,0.185156,0.250107,2,Chambray - Yuu,created,Duke Dumont: Chambray - Yuu,track_basic,-1
Don't You Worry Child,0.55179,0.225428,1,Don't You Worry Child - Axwell & Ingrosso,played,Axwell & Ingrosso: Swedish House Mafia feat. John Martin - Don't You Worry Child,track_basic,-1
