node,pos_x,pos_y,path_order,connection,connection_type,track_info,node_type,cluster
Eurythmics,0.645225,0.393671,2,Stop Faded Dreams  - Eurythmics,created,Oliver Heldens: Dr. Kucho & Gregor Salto & Oliver Heldens vs. Eurythmics vs. ZHU - Stop Faded Dreams (Joseph Ceza Mashup),artist,-1
Stop Faded Dreams ,0.646174,0.435509,1,Stop Faded Dreams  - ZHU,created,Oliver Heldens: Dr. Kucho & Gregor Salto & Oliver Heldens vs. Eurythmics vs. ZHU - Stop Faded Dreams (Joseph Ceza Mashup),track_basic,-1
ZHU,0.581482,0.418516,2,Stop Faded Dreams  - ZHU,created,Oliver Heldens: Dr. Kucho & Gregor Salto & Oliver Heldens vs. Eurythmics vs. ZHU - Stop Faded Dreams (Joseph Ceza Mashup),artist,-1
Stop Faded Dreams ,0.646174,0.435509,1,Stop Faded Dreams  - Dr. Kucho,created,Oliver Heldens: Dr. Kucho & Gregor Salto & Oliver Heldens vs. Eurythmics vs. ZHU - Stop Faded Dreams (Joseph Ceza Mashup),track_basic,-1
Dr. Kucho,0.69102,0.474699,2,Stop Faded Dreams  - Dr. Kucho,created,Oliver Heldens: Dr. Kucho & Gregor Salto & Oliver Heldens vs. Eurythmics vs. ZHU - Stop Faded Dreams (Joseph Ceza Mashup),artist,-1
Stop Faded Dreams ,0.646174,0.435509,1,Stop Faded Dreams  - Gregor Salto,created,Oliver Heldens: Dr. Kucho & Gregor Salto & Oliver Heldens vs. Eurythmics vs. ZHU - Stop Faded Dreams (Joseph Ceza Mashup),track_basic,-1
Gregor Salto,0.629952,0.43971,2,Stop Faded Dreams  - Gregor Salto,created,Oliver Heldens: Dr. Kucho & Gregor Salto & Oliver Heldens vs. Eurythmics vs. ZHU - Stop Faded Dreams (Joseph Ceza Mashup),artist,-1
Bali Bandits,0.465024,0.335876,1,Bali Bandits - ID,created,Galantis: Bali Bandits - ID,artist,-1
ID,0.509231,0.357649,2,Bali Bandits - ID,created,Galantis: Bali Bandits - ID,track_basic,-1
ENUR,0.333937,0.354956,1,ENUR - Manga Calabria ,created,Major Lazer: Yves V vs. ENUR - Manga Calabria (SikDuo Edit),artist,-1
Manga Calabria ,0.394645,0.353532,2,ENUR - Manga Calabria ,created,Major Lazer: Yves V vs. ENUR - Manga Calabria (SikDuo Edit),track_basic,-1
Make It Bounce,0.633163,0.49345,1,Make It Bounce - Richie Loop,created,Showtek: Dual Color feat. Richie Loop - Make It Bounce,track_basic,-1
Richie Loop,0.56675,0.513695,2,Make It Bounce - Richie Loop,created,Showtek: Dual Color feat. Richie Loop - Make It Bounce,artist,-1
Make It Bounce,0.633163,0.49345,1,Make It Bounce - Showtek,played,Showtek: Dual Color feat. Richie Loop - Make It Bounce,track_basic,-1
Showtek,0.643474,0.40999,2,Make It Bounce - Showtek,played,Showtek: Dual Color feat. Richie Loop - Make It Bounce,set_artist,1
Make It Bounce,0.633163,0.49345,1,Make It Bounce - Dual Color,created,Showtek: Dual Color feat. Richie Loop - Make It Bounce,track_basic,-1
Dual Color,0.667843,0.543042,2,Make It Bounce - Dual Color,created,Showtek: Dual Color feat. Richie Loop - Make It Bounce,artist,-1
Sending Love,0.179096,0.24162,1,Sending Love - Tuff London,created,Duke Dumont: Tuff London - Sending Love,track_basic,-1
Tuff London,0.132679,0.220361,2,Sending Love - Tuff London,created,Duke Dumont: Tuff London - Sending Love,artist,-1
Sending Love,0.179096,0.24162,1,Sending Love - Duke Dumont,played,Duke Dumont: Tuff London - Sending Love,track_basic,-1
Duke Dumont,0.244841,0.273866,2,Sending Love - Duke Dumont,played,Duke Dumont: Tuff London - Sending Love,set_artist,1
Look At Me!,0.525272,0.226833,1,Look At Me! - Marshmello,played,Marshmello: XXXTENTACION - Look At Me!,track_basic,-1
Marshmello,0.502467,0.293848,2,Look At Me! - Marshmello,played,Marshmello: XXXTENTACION - Look At Me!,set_artist,6
Look At Me!,0.525272,0.226833,1,Look At Me! - XXXTENTACION,created,Marshmello: XXXTENTACION - Look At Me!,track_basic,-1
XXXTENTACION,0.554842,0.190747,2,Look At Me! - XXXTENTACION,created,Marshmello: XXXTENTACION - Look At Me!,artist,-1
Satisfaction ,0.401771,0.339131,1,Satisfaction  - DILLON FRANCIS,played,DILLON FRANCIS: Benny Benassi pres. The Biz - Satisfaction (RL Grime Remix),track_basic,-1
DILLON FRANCIS,0.455825,0.356546,2,Satisfaction  - DILLON FRANCIS,played,DILLON FRANCIS: Benny Benassi pres. The Biz - Satisfaction (RL Grime Remix),set_artist,3
Satisfaction ,0.401771,0.339131,1,Satisfaction  - Benny Benassi pres. The Biz,created,Martin Solveig: Benny Benassi pres. The Biz - Satisfaction (RL Grime Remix),track_basic,-1
Benny Benassi pres. The Biz,0.369771,0.34078,2,Satisfaction  - Benny Benassi pres. The Biz,created,Martin Solveig: Benny Benassi pres. The Biz - Satisfaction (RL Grime Remix),artist,-1
Satisfaction ,0.401771,0.339131,1,Satisfaction  - Martin Solveig,played,Martin Solveig: Benny Benassi pres. The Biz - Satisfaction (RL Grime Remix),track_basic,-1
Martin Solveig,0.428607,0.314786,2,Satisfaction  - Martin Solveig,played,Martin Solveig: Benny Benassi pres. The Biz - Satisfaction (RL Grime Remix),set_artist,1
Promise Land,0.775619,0.418064,1,Promise Land - X-Press,created,Oliver Heldens: Promise Land - X-Press,artist,-1
X-Press,0.715053,0.411094,2,Promise Land - X-Press,created,Oliver Heldens: Promise Land - X-Press,track_basic,-1
Frogbass,0.463678,0.237467,1,Frogbass - Snails,created & played,Snails: Snails - Frogbass,track_basic,-1
Snails,0.491253,0.286483,2,Frogbass - Snails,created & played,Snails: Snails - Frogbass,set_artist,1
SKisM,0.60079,0.549709,1,SKisM - Experts ,created,Gastly: SKisM - Experts (Barely Alive Remix),artist,-1
Experts ,0.586735,0.491193,2,SKisM - Experts ,created,Gastly: SKisM - Experts (Barely Alive Remix),track_basic,-1
Bad And Boujee vs. U Can't Touch This ,0.549229,0.331549,1,Bad And Boujee vs. U Can't Touch This  - Marshmello,played,Marshmello: Migos feat. Lil *Zi Vert vs. MC Hammer - Bad And Boujee vs. U Can't Touch This (Guap Beats Super Freak Full Mashup),track_basic,-1
Marshmello,0.502467,0.293848,2,Bad And Boujee vs. U Can't Touch This  - Marshmello,played,Marshmello: Migos feat. Lil *Zi Vert vs. MC Hammer - Bad And Boujee vs. U Can't Touch This (Guap Beats Super Freak Full Mashup),set_artist,6
Bad And Boujee vs. U Can't Touch This ,0.549229,0.331549,1,Bad And Boujee vs. U Can't Touch This  - Gastly,played,Gastly: Migos feat. Lil *Zi Vert vs. MC Hammer - Bad And Boujee vs. U Can't Touch This (Guap Beats Super Freak Full Mashup),track_basic,-1
Gastly,0.56223,0.411731,2,Bad And Boujee vs. U Can't Touch This  - Gastly,played,Gastly: Migos feat. Lil *Zi Vert vs. MC Hammer - Bad And Boujee vs. U Can't Touch This (Guap Beats Super Freak Full Mashup),set_artist,1
Bad And Boujee vs. U Can't Touch This ,0.549229,0.331549,1,Bad And Boujee vs. U Can't Touch This  - Lil *Zi Vert,created,Marshmello: Migos feat. Lil *Zi Vert vs. MC Hammer - Bad And Boujee vs. U Can't Touch This (Guap Beats Super Freak Full Mashup),track_basic,-1
Lil *Zi Vert,0.55503,0.309582,2,Bad And Boujee vs. U Can't Touch This  - Lil *Zi Vert,created,Marshmello: Migos feat. Lil *Zi Vert vs. MC Hammer - Bad And Boujee vs. U Can't Touch This (Guap Beats Super Freak Full Mashup),artist,-1
Bad And Boujee vs. U Can't Touch This ,0.549229,0.331549,1,Bad And Boujee vs. U Can't Touch This  - Migos,created,Marshmello: Migos feat. Lil *Zi Vert vs. MC Hammer - Bad And Boujee vs. U Can't Touch This (Guap Beats Super Freak Full Mashup),track_basic,-1
Migos,0.504131,0.3207,2,Bad And Boujee vs. U Can't Touch This  - Migos,created,Marshmello: Migos feat. Lil *Zi Vert vs. MC Hammer - Bad And Boujee vs. U Can't Touch This (Guap Beats Super Freak Full Mashup),artist,-1
Bad And Boujee vs. U Can't Touch This ,0.549229,0.331549,1,Bad And Boujee vs. U Can't Touch This  - MC Hammer,created,Marshmello: Migos feat. Lil *Zi Vert vs. MC Hammer - Bad And Boujee vs. U Can't Touch This (Guap Beats Super Freak Full Mashup),track_basic,-1
MC Hammer,0.590979,0.292508,2,Bad And Boujee vs. U Can't Touch This  - MC Hammer,created,Marshmello: Migos feat. Lil *Zi Vert vs. MC Hammer - Bad And Boujee vs. U Can't Touch This (Guap Beats Super Freak Full Mashup),artist,-1
When A Fire Starts To Burn ,0.396556,0.376685,1,When A Fire Starts To Burn  - Disclosure,created,Alison Wonderland: Disclosure - When A Fire Starts To Burn (Shapeless & Golden Leaf Bootleg),track_basic,-1
Disclosure,0.440784,0.42017,2,When A Fire Starts To Burn  - Disclosure,created,Alison Wonderland: Disclosure - When A Fire Starts To Burn (Shapeless & Golden Leaf Bootleg),artist,-1
When A Fire Starts To Burn ,0.396556,0.376685,1,When A Fire Starts To Burn  - Alison Wonderland,played,Alison Wonderland: Disclosure - When A Fire Starts To Burn (Shapeless & Golden Leaf Bootleg),track_basic,-1
Alison Wonderland,0.406147,0.316914,2,When A Fire Starts To Burn  - Alison Wonderland,played,Alison Wonderland: Disclosure - When A Fire Starts To Burn (Shapeless & Golden Leaf Bootleg),set_artist,1
Faustix,0.413707,0.40887,1,Faustix - Revolution,created,Flosstradamus: Diplo feat. Faustix & ImanoS & Kai - Revolution,artist,-1
Revolution,0.45986,0.374682,2,Faustix - Revolution,created,Flosstradamus: Diplo feat. Faustix & ImanoS & Kai - Revolution,track_basic,-1
Forever Young,0.584374,0.493815,1,Forever Young - Gastly,played,Gastly: Alphaville - Forever Young,track_basic,-1
Gastly,0.56223,0.411731,2,Forever Young - Gastly,played,Gastly: Alphaville - Forever Young,set_artist,1
Forever Young,0.584374,0.493815,1,Forever Young - Alphaville,created,Gastly: Alphaville - Forever Young,track_basic,-1
Alphaville,0.597299,0.553162,2,Forever Young - Alphaville,created,Gastly: Alphaville - Forever Young,artist,-1
Armada,0.845593,0.254753,1,Armada - Black Tiger Sex Machine,created & played,Black Tiger Sex Machine: Black Tiger Sex Machine & LeKtriQue - Armada,track_basic,-1
Black Tiger Sex Machine,0.774573,0.278513,2,Armada - Black Tiger Sex Machine,created & played,Black Tiger Sex Machine: Black Tiger Sex Machine & LeKtriQue - Armada,set_artist,1
Armada,0.845593,0.254753,1,Armada - LeKtriQue,created,Black Tiger Sex Machine: Black Tiger Sex Machine & LeKtriQue - Armada,track_basic,-1
LeKtriQue,0.894887,0.23843,2,Armada - LeKtriQue,created,Black Tiger Sex Machine: Black Tiger Sex Machine & LeKtriQue - Armada,artist,-1
I Wanna Know ,0.459524,0.213562,1,I Wanna Know  - Galantis,played,Galantis: Alesso feat. Nico & Vinz - I Wanna Know (Deniz Koyu & Alesso Remix),track_basic,-1
Galantis,0.445765,0.278193,2,I Wanna Know  - Galantis,played,Galantis: Alesso feat. Nico & Vinz - I Wanna Know (Deniz Koyu & Alesso Remix),set_artist,1
I Wanna Know ,0.459524,0.213562,1,I Wanna Know  - Vinz,created,Galantis: Alesso feat. Nico & Vinz - I Wanna Know (Deniz Koyu & Alesso Remix),track_basic,-1
Vinz,0.428173,0.161014,2,I Wanna Know  - Vinz,created,Galantis: Alesso feat. Nico & Vinz - I Wanna Know (Deniz Koyu & Alesso Remix),artist,-1
I Wanna Know ,0.459524,0.213562,1,I Wanna Know  - Nico,created,Galantis: Alesso feat. Nico & Vinz - I Wanna Know (Deniz Koyu & Alesso Remix),track_basic,-1
Nico,0.430407,0.159421,2,I Wanna Know  - Nico,created,Galantis: Alesso feat. Nico & Vinz - I Wanna Know (Deniz Koyu & Alesso Remix),artist,-1
Reece Low,0.606978,0.375959,1,Reece Low - Bounce That Ass,created,Marshmello: Reece Low - Bounce That Ass,artist,-1
Bounce That Ass,0.56554,0.324003,2,Reece Low - Bounce That Ass,created,Marshmello: Reece Low - Bounce That Ass,track_basic,-1
Reece Low,0.606978,0.375959,1,Reece Low - Sprungkraft,created,Tiesto: Reece Low & SCNDL - Sprungkraft,artist,-1
Sprungkraft,0.607229,0.433713,2,Reece Low - Sprungkraft,created,Tiesto: Reece Low & SCNDL - Sprungkraft,track_basic,-1
Jungle Bae,0.477704,0.299905,1,Jungle Bae - Marshmello,played,Marshmello: Jack U* feat. Bunji Garlin - Jungle Bae,track_basic,-1
Marshmello,0.502467,0.293848,2,Jungle Bae - Marshmello,played,Marshmello: Jack U* feat. Bunji Garlin - Jungle Bae,set_artist,6
Jungle Bae,0.477704,0.299905,1,Jungle Bae - Jack U*,created,RL Grime: Jack U* feat. Bunji Garlin - Jungle Bae,track_basic,-1
Jack U*,0.505312,0.270566,2,Jungle Bae - Jack U*,created,RL Grime: Jack U* feat. Bunji Garlin - Jungle Bae,artist,-1
Jungle Bae,0.477704,0.299905,1,Jungle Bae - NGHTMRE,played,NGHTMRE: Jack U* feat. Bunji Garlin - Jungle Bae,track_basic,-1
NGHTMRE,0.477369,0.35708,2,Jungle Bae - NGHTMRE,played,NGHTMRE: Jack U* feat. Bunji Garlin - Jungle Bae,set_artist,1
Jungle Bae,0.477704,0.299905,1,Jungle Bae - RL Grime,played,RL Grime: Jack U* feat. Bunji Garlin - Jungle Bae,track_basic,-1
RL Grime,0.459933,0.29647,2,Jungle Bae - RL Grime,played,RL Grime: Jack U* feat. Bunji Garlin - Jungle Bae,set_artist,1
Jungle Bae,0.477704,0.299905,1,Jungle Bae - Bunji Garlin,created,RL Grime: Jack U* feat. Bunji Garlin - Jungle Bae,track_basic,-1
Bunji Garlin,0.483971,0.279787,2,Jungle Bae - Bunji Garlin,created,RL Grime: Jack U* feat. Bunji Garlin - Jungle Bae,artist,-1
Porcelain ,0.331786,0.465745,1,Porcelain  - Moby,created,Above & Beyond: Moby - Porcelain (Above & Beyond Remix),track_basic,-1
Moby,0.330847,0.403058,2,Porcelain  - Moby,created,Above & Beyond: Moby - Porcelain (Above & Beyond Remix),artist,-1
Porcelain ,0.331786,0.465745,1,Porcelain  - Above & Beyond,played,Above & Beyond: Moby - Porcelain (Above & Beyond Remix),track_basic,-1
Above & Beyond,0.384851,0.492111,2,Porcelain  - Above & Beyond,played,Above & Beyond: Moby - Porcelain (Above & Beyond Remix),set_artist,1
Sparks,0.757637,0.455304,1,Sparks - Crank vs. Raise Your Hands vs. Spaceman vs. Scared To Be Lonely vs. BANG ,created,Hardwell: Jewelz & Sparks vs. Seth Hills vs. Hardwell vs. Martin Garrix & Dua Lipa vs. Maddix & KEVU - Crank vs. Raise Your Hands vs. Spaceman vs. Scared To Be Lonely vs. BANG (Hardwell UMF 2017 Mashup),artist,-1
Crank vs. Raise Your Hands vs. Spaceman vs. Scared To Be Lonely vs. BANG ,0.704164,0.426505,2,Sparks - Crank vs. Raise Your Hands vs. Spaceman vs. Scared To Be Lonely vs. BANG ,created,Hardwell: Jewelz & Sparks vs. Seth Hills vs. Hardwell vs. Martin Garrix & Dua Lipa vs. Maddix & KEVU - Crank vs. Raise Your Hands vs. Spaceman vs. Scared To Be Lonely vs. BANG (Hardwell UMF 2017 Mashup),track_basic,-1
24k,0.538444,0.381709,1,24k - Flosstradamus,played,Flosstradamus: DVBBS - 24k,track_basic,-1
Flosstradamus,0.487756,0.395637,2,24k - Flosstradamus,played,Flosstradamus: DVBBS - 24k,set_artist,1
24k,0.538444,0.381709,1,24k - DVBBS,created,Yellow Claw: DVBBS - 24k,track_basic,-1
DVBBS,0.551348,0.38606,2,24k - DVBBS,created,Yellow Claw: DVBBS - 24k,artist,-1
24k,0.538444,0.381709,1,24k - Yellow Claw,played,Yellow Claw: DVBBS - 24k,track_basic,-1
Yellow Claw,0.57106,0.338601,2,24k - Yellow Claw,played,Yellow Claw: DVBBS - 24k,set_artist,9
Party Thieves,0.339705,0.358329,1,Party Thieves - Chief,created,Shaun Frank: Party Thieves & ATLiens - Chief,artist,-1
Chief,0.399049,0.35707,2,Party Thieves - Chief,created,Shaun Frank: Party Thieves & ATLiens - Chief,track_basic,-1
Feel It In My Bones ,0.547881,0.545897,1,Feel It In My Bones  - Tiesto,played,Tiesto: Ti*sto feat. Tegan & Sara - Feel It In My Bones (Riggi & Piros Remix),track_basic,-1
Tiesto,0.544564,0.471361,2,Feel It In My Bones  - Tiesto,played,Tiesto: Ti*sto feat. Tegan & Sara - Feel It In My Bones (Riggi & Piros Remix),set_artist,1
Feel It In My Bones ,0.547881,0.545897,1,Feel It In My Bones  - Ti*sto,created,Tiesto: Ti*sto feat. Tegan & Sara - Feel It In My Bones (Riggi & Piros Remix),track_basic,-1
Ti*sto,0.541599,0.47572,2,Feel It In My Bones  - Ti*sto,created,Tiesto: Ti*sto feat. Tegan & Sara - Feel It In My Bones (Riggi & Piros Remix),artist,-1
Feel It In My Bones ,0.547881,0.545897,1,Feel It In My Bones  - Tegan,created,Tiesto: Ti*sto feat. Tegan & Sara - Feel It In My Bones (Riggi & Piros Remix),track_basic,-1
Tegan,0.549257,0.604969,2,Feel It In My Bones  - Tegan,created,Tiesto: Ti*sto feat. Tegan & Sara - Feel It In My Bones (Riggi & Piros Remix),artist,-1
Manga Calabria ,0.394645,0.353532,1,Manga Calabria  - Major Lazer,played,Major Lazer: Yves V vs. ENUR - Manga Calabria (SikDuo Edit),track_basic,-1
Major Lazer,0.49824,0.354746,2,Manga Calabria  - Major Lazer,played,Major Lazer: Yves V vs. ENUR - Manga Calabria (SikDuo Edit),set_artist,1
Manga Calabria ,0.394645,0.353532,1,Manga Calabria  - Yves V,created,Major Lazer: Yves V vs. ENUR - Manga Calabria (SikDuo Edit),track_basic,-1
Yves V,0.334319,0.351148,2,Manga Calabria  - Yves V,created,Major Lazer: Yves V vs. ENUR - Manga Calabria (SikDuo Edit),artist,-1
Feel The Bass,0.60421,0.353088,1,Feel The Bass - Slushii,played,Slushii: JVST SAY YES & Virtual Riot - Feel The Bass,track_basic,-1
Slushii,0.533001,0.344346,2,Feel The Bass - Slushii,played,Slushii: JVST SAY YES & Virtual Riot - Feel The Bass,set_artist,1
Feel The Bass,0.60421,0.353088,1,Feel The Bass - JVST SAY YES,created,Slushii: JVST SAY YES & Virtual Riot - Feel The Bass,track_basic,-1
JVST SAY YES,0.663639,0.334822,2,Feel The Bass - JVST SAY YES,created,Slushii: JVST SAY YES & Virtual Riot - Feel The Bass,artist,-1
Feel The Bass,0.60421,0.353088,1,Feel The Bass - Virtual Riot,created,Slushii: JVST SAY YES & Virtual Riot - Feel The Bass,track_basic,-1
Virtual Riot,0.572853,0.391883,2,Feel The Bass - Virtual Riot,created,Slushii: JVST SAY YES & Virtual Riot - Feel The Bass,artist,-1
Hold On To Me,0.515805,0.321898,1,Hold On To Me - RL Grime,played,RL Grime: Yellow Claw & GTA - Hold On To Me,track_basic,-1
RL Grime,0.459933,0.29647,2,Hold On To Me - RL Grime,played,RL Grime: Yellow Claw & GTA - Hold On To Me,set_artist,1
Hold On To Me,0.515805,0.321898,1,Hold On To Me - GTA,created,Yellow Claw: Yellow Claw & GTA - Hold On To Me,track_basic,-1
GTA,0.569111,0.356537,2,Hold On To Me - GTA,created,Yellow Claw: Yellow Claw & GTA - Hold On To Me,set_artist,1
Hold On To Me,0.515805,0.321898,1,Hold On To Me - Kayzo,played,Kayzo: Yellow Claw & GTA - Hold On To Me,track_basic,-1
Kayzo,0.463961,0.33294,2,Hold On To Me - Kayzo,played,Kayzo: Yellow Claw & GTA - Hold On To Me,set_artist,1
Hold On To Me,0.515805,0.321898,1,Hold On To Me - Yellow Claw,created & played,Yellow Claw: Yellow Claw & GTA - Hold On To Me,track_basic,-1
Yellow Claw,0.57106,0.338601,2,Hold On To Me - Yellow Claw,created & played,Yellow Claw: Yellow Claw & GTA - Hold On To Me,set_artist,9
Hold On To Me,0.515805,0.321898,1,Hold On To Me - Boombox Cartel,played,Boombox Cartel: Yellow Claw & GTA - Hold On To Me,track_basic,-1
Boombox Cartel,0.498263,0.289584,2,Hold On To Me - Boombox Cartel,played,Boombox Cartel: Yellow Claw & GTA - Hold On To Me,set_artist,0
Sweet Nothing,0.426238,0.351768,1,Sweet Nothing - Shaun Frank,played,Shaun Frank: Calvin Harris feat. Florence Welch - Sweet Nothing,track_basic,-1
Shaun Frank,0.484177,0.363283,2,Sweet Nothing - Shaun Frank,played,Shaun Frank: Calvin Harris feat. Florence Welch - Sweet Nothing,set_artist,1
Sweet Nothing,0.426238,0.351768,1,Sweet Nothing - Calvin Harris,created,Shaun Frank: Calvin Harris feat. Florence Welch - Sweet Nothing,track_basic,-1
Calvin Harris,0.480566,0.347554,2,Sweet Nothing - Calvin Harris,created,Shaun Frank: Calvin Harris feat. Florence Welch - Sweet Nothing,artist,-1
Sweet Nothing,0.426238,0.351768,1,Sweet Nothing - Martin Solveig,played,Martin Solveig: Calvin Harris feat. Florence Welch - Sweet Nothing,track_basic,-1
Martin Solveig,0.428607,0.314786,2,Sweet Nothing - Martin Solveig,played,Martin Solveig: Calvin Harris feat. Florence Welch - Sweet Nothing,set_artist,1
Sweet Nothing,0.426238,0.351768,1,Sweet Nothing - Florence Welch,created,Shaun Frank: Calvin Harris feat. Florence Welch - Sweet Nothing,track_basic,-1
Florence Welch,0.366631,0.361973,2,Sweet Nothing - Florence Welch,created,Shaun Frank: Calvin Harris feat. Florence Welch - Sweet Nothing,artist,-1
Clams Casino,0.655607,0.595941,1,Clams Casino - I'm God ,created,San Holo: Clams Casino - I'm God (San Holo Edit),artist,-1
I'm God ,0.630658,0.539773,2,Clams Casino - I'm God ,created,San Holo: Clams Casino - I'm God (San Holo Edit),track_basic,-1
NLW,0.579577,0.341769,1,NLW - Higher Place vs. Ten Feet Tall ,created,Afrojack: Dimitri Vegas & Like Mike vs. NLW - Higher Place vs. Ten Feet Tall (Afrojack UMF Mashup),artist,-1
Higher Place vs. Ten Feet Tall ,0.615578,0.337084,2,NLW - Higher Place vs. Ten Feet Tall ,created,Afrojack: Dimitri Vegas & Like Mike vs. NLW - Higher Place vs. Ten Feet Tall (Afrojack UMF Mashup),track_basic,-1
NLW,0.579577,0.341769,1,NLW - Daft Ragga,created,Afrojack: NLW - Daft Ragga,artist,-1
Daft Ragga,0.61879,0.331373,2,NLW - Daft Ragga,created,Afrojack: NLW - Daft Ragga,track_basic,-1
NLW,0.579577,0.341769,1,NLW - ID,created,Afrojack: NLW & KIIDA - ID,artist,-1
ID,0.509231,0.357649,2,NLW - ID,created,Afrojack: NLW & KIIDA - ID,track_basic,-1
Aleesia,0.661712,0.278075,1,Aleesia - Gold Skies,created,Martin Garrix: Sander Van Doorn & Martin Garrix & DVBBS feat. Aleesia - Gold Skies,artist,-1
Gold Skies,0.608372,0.310278,2,Aleesia - Gold Skies,created,Martin Garrix: Sander Van Doorn & Martin Garrix & DVBBS feat. Aleesia - Gold Skies,track_basic,-1
Saria's Turn Up,0.552205,0.365683,1,Saria's Turn Up - Datsik,played,Datsik: GTA - Saria's Turn Up,track_basic,-1
Datsik,0.624021,0.377918,2,Saria's Turn Up - Datsik,played,Datsik: GTA - Saria's Turn Up,set_artist,8
Saria's Turn Up,0.552205,0.365683,1,Saria's Turn Up - GTA,created,Valentino Khan: GTA - Saria's Turn Up,track_basic,-1
GTA,0.569111,0.356537,2,Saria's Turn Up - GTA,created,Valentino Khan: GTA - Saria's Turn Up,set_artist,1
Saria's Turn Up,0.552205,0.365683,1,Saria's Turn Up - Valentino Khan,played,Valentino Khan: GTA - Saria's Turn Up,track_basic,-1
Valentino Khan,0.464455,0.393263,2,Saria's Turn Up - Valentino Khan,played,Valentino Khan: GTA - Saria's Turn Up,set_artist,1
Saria's Turn Up,0.552205,0.365683,1,Saria's Turn Up - Ookay,played,Ookay: GTA - Saria's Turn Up,track_basic,-1
Ookay,0.536061,0.37073,2,Saria's Turn Up - Ookay,played,Ookay: GTA - Saria's Turn Up,set_artist,1
Saria's Turn Up,0.552205,0.365683,1,Saria's Turn Up - Jauz,played,Jauz: GTA - Saria's Turn Up,track_basic,-1
Jauz,0.571512,0.303237,2,Saria's Turn Up - Jauz,played,Jauz: GTA - Saria's Turn Up,set_artist,1
Don Diablo,0.38662,0.176079,1,Don Diablo - Cutting Shapes vs. Mantra ,created,Galantis: Don Diablo vs. Michael Feiner & Axwell - Cutting Shapes vs. Mantra (Galantis Edit),artist,-1
Cutting Shapes vs. Mantra ,0.430805,0.205036,2,Don Diablo - Cutting Shapes vs. Mantra ,created,Galantis: Don Diablo vs. Michael Feiner & Axwell - Cutting Shapes vs. Mantra (Galantis Edit),track_basic,-1
Don Diablo,0.38662,0.176079,1,Don Diablo - Children Of A Miracle ,created,Galantis: Don Diablo & MARNIK - Children Of A Miracle (Don Diablo VIP Mix),artist,-1
Children Of A Miracle ,0.385327,0.208601,2,Don Diablo - Children Of A Miracle ,created,Galantis: Don Diablo & MARNIK - Children Of A Miracle (Don Diablo VIP Mix),track_basic,-1
Holl,0.280633,0.292385,1,Holl - Lift Me Up,created,Galantis: Holl & Rush - Lift Me Up,artist,-1
Lift Me Up,0.339435,0.304058,2,Holl - Lift Me Up,created,Galantis: Holl & Rush - Lift Me Up,track_basic,-1
Armanni Reign,0.777558,0.38268,1,Armanni Reign - Let 'Em Know,created,Datsik: Datsik feat. Armanni Reign - Let 'Em Know,artist,-1
Let 'Em Know,0.7138,0.380805,2,Armanni Reign - Let 'Em Know,created,Datsik: Datsik feat. Armanni Reign - Let 'Em Know,track_basic,-1
N*ONH*ART,0.194455,0.363493,1,N*ONH*ART - Where I Won't Be Found,created,Seven Lions: Seven Lions feat. N*ONH*ART - Where I Won't Be Found,artist,-1
Where I Won't Be Found,0.248271,0.354986,2,N*ONH*ART - Where I Won't Be Found,created,Seven Lions: Seven Lions feat. N*ONH*ART - Where I Won't Be Found,track_basic,-1
Travis Porter,0.417583,0.52534,1,Travis Porter - Drop Top,created,Flosstradamus: Flosstradamus feat. Travis Porter - Drop Top,artist,-1
Drop Top,0.446301,0.47102,2,Travis Porter - Drop Top,created,Flosstradamus: Flosstradamus feat. Travis Porter - Drop Top,track_basic,-1
Pillz,0.501752,0.403896,1,Pillz - Flosstradamus,created,Yellow Claw: Yellow Claw & Flosstradamus feat. Green Velvet - Pillz,track_basic,-1
Flosstradamus,0.487756,0.395637,2,Pillz - Flosstradamus,created,Yellow Claw: Yellow Claw & Flosstradamus feat. Green Velvet - Pillz,set_artist,1
Pillz,0.501752,0.403896,1,Pillz - Yellow Claw,created & played,Yellow Claw: Yellow Claw & Flosstradamus feat. Green Velvet - Pillz,track_basic,-1
Yellow Claw,0.57106,0.338601,2,Pillz - Yellow Claw,created & played,Yellow Claw: Yellow Claw & Flosstradamus feat. Green Velvet - Pillz,set_artist,9
Pillz,0.501752,0.403896,1,Pillz - Green Velvet,created,Yellow Claw: Yellow Claw & Flosstradamus feat. Green Velvet - Pillz,track_basic,-1
Green Velvet,0.431979,0.453283,2,Pillz - Green Velvet,created,Yellow Claw: Yellow Claw & Flosstradamus feat. Green Velvet - Pillz,artist,-1
What Goes Around Comes Around ,0.312959,0.374243,1,What Goes Around Comes Around  - Lost Frequencies,created & played,Lost Frequencies: Lost Frequencies - What Goes Around Comes Around (Deluxe Edit),track_basic,-1
Lost Frequencies,0.370313,0.358969,2,What Goes Around Comes Around  - Lost Frequencies,created & played,Lost Frequencies: Lost Frequencies - What Goes Around Comes Around (Deluxe Edit),set_artist,5
AFK,0.51392,0.594127,1,AFK - WDGAF,created,Excision: AFK & Wooli - WDGAF,artist,-1
WDGAF,0.531629,0.538104,2,AFK - WDGAF,created,Excision: AFK & Wooli - WDGAF,track_basic,-1
Interlude,0.37017,0.0712087,1,Interlude - Porter Robinson,created & played,Porter Robinson: Porter Robinson - Interlude,track_basic,-1
